Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2492
Anjou,738
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2383
Côte-Saint-Luc,546
Dollard-des-Ormeaux,450
Dorval,205
Hampstead,60
Kirkland,138
Lachine,703
LaSalle,1299
L'Île-Bizard–Sainte-Geneviève,223
Mercier–Hochelaga-Maisonneuve,2494
Montréal-Est,49
Montréal-Nord,2658
Montréal-Ouest,31
Mont-Royal,292
Outremont,283
Pierrefonds–Roxboro,583
Plateau-Mont-Royal,1087
Pointe-Claire,244
Rivière-des-Prairies–Pointe-aux-Trembles,2248
Rosemont–La Petite Patrie,1773
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1169
Saint-Léonard,1205
Senneville,<5
Sud-Ouest,1049
Verdun,1033
Ville-Marie,1076
Villeray–Saint-Michel–Parc-Extension,2366
Westmount,198
Territoire à confirmer,653
Total à Montréal,29841
